Anio,Trimestre,AnioTrimestre,Provincia,AccesoCada100Hogares,DiferenciaTrimestral,PorcientoTrimestral,Cumple2,BandAnchaFija,Dial_up,ADSL,Cablemodem,FibraOptica,Wireless,OtrosTipoConexion,totalServicios,Mbps(Media de bajada),Hasta512kbps,512Kbps_Menos1Mbps,1Mbps_Menos6Mbps,6Mbps_Menos10Mbps,10Mbps_Menos20Mbps,20Mbps_Menos30Mbps,30Mbps,OtrosMbps,Total_Mbps
2022,4,20224,Buenos Aires,78.94,0.83,1.05,0,5,6,326,3,1,130,72,543,111,28.93,23.35,259.87,281.55,244.555,98.67,3760.11,97.63,4794.67
2022,3,20223,Buenos Aires,78.11,0.53,0.68,0,5,6,340,3,1,127,70,552,7.02,29.99,27.71,290.32,297.915,267.044,124.19,3618.69,65.82,4721.67
2022,2,20222,Buenos Aires,77.58,1.5,1.93,0,5,6,351,3,1,127,71,564,655,30.64,28.32,295.24,307.554,273.954,129.869,3535.76,65.85,4667.18
2022,1,20221,Buenos Aires,76.08,0.42,0.55,0,5,6,392,3,1,126,67,600,6.25,31.59,30.06,313.38,321.756,290.127,161.183,3381.05,26.28,4555.42
2021,4,20214,Buenos Aires,75.66,3.98,5.26,1,5,6,426,3,1,127,73,641,6.02,37.82,11.03,352.95,331.292,297.296,196.021,3259.79,22.96,4509.16
2021,3,20213,Buenos Aires,71.68,1.68,2.34,1,4,5,586,3,886,120,65,1669,5.63,37.19,31.15,1108.94,248.153,141.383,192.797,2482.27,9.73,4251.61
2021,2,20212,Buenos Aires,70,0.89,1.27,0,4,5,603,3,854,114,58,1641,5.28,37.19,31.18,1096.05,244.001,140.322,236.897,2337.6,9.11,4132.35
2021,1,20211,Buenos Aires,69.11,0.13,0.19,0,4,5,630,2,822,99,58,1620,5.08,36.94,31.19,1108.37,240.52,163.747,222.061,2246.31,10.87,4060
2020,4,20204,Buenos Aires,68.98,1.32,1.91,0,4,5,636,2,805,93,58,1603,5,36.94,31.2,1109.87,242.243,214.171,213.588,2176.24,9.02,4033.26
2020,3,20203,Buenos Aires,67.66,2.44,3.61,1,4,5,654,2,749,94,56,1564,4.84,37.54,31.51,1113.82,234.71,219.772,194.248,2085.82,19.85,3937.28
2020,2,20202,Buenos Aires,65.22,0.89,1.36,0,4,5,661,2,723,92,57,1544,4.57,37.54,31.61,1129.24,241.336,233.132,188.995,1894.47,21.23,3777.55
2020,1,20201,Buenos Aires,64.33,0.08,0.12,0,4,5,673,2,721,85,18,1508,4.52,38.22,36.8,1122.03,236.421,247.977,205.78,1802.58,28.94,3718.75
2019,4,20194,Buenos Aires,64.25,-5.11,-7.95,0,4,5,720,2,669,87,18,1505,3.08,33.49,27.54,1177.45,262.297,247.106,452.57,1465.13,20.68,3686.25
2019,3,20193,Buenos Aires,69.36,1.51,2.18,1,4,10,1,2,425,86,27,555,2.57,238.92,44.65,1432.72,222.812,260.506,483.572,1246.21,42.29,3971.68
2019,2,20192,Buenos Aires,67.85,1.61,2.37,1,4,10,1,2,383,75,33,508,2.25,199.77,46.85,1436.26,217.785,438.663,502.275,985.77,43.44,3870.81
2019,1,20191,Buenos Aires,66.24,1.64,2.48,1,4,10,1,2,336,65,20,438,1.96,162.51,72.3,1429.96,202.511,576.428,576.859,705.77,6.37,3732.71
2018,4,20184,Buenos Aires,64.6,0.16,0.25,0,4,10,1,2,296,65,20,398,1.69,134.67,73.76,1422.46,194.426,577.679,949.093,265.39,19.13,3636.61
2018,3,20183,Buenos Aires,64.44,1.66,2.58,1,4,11,1,2,156,62,26,262,1.68,991,80.46,1445.73,190.805,636.09,897.964,237.25,120.46,4599.76
2018,2,20182,Buenos Aires,62.78,0.15,0.24,0,3,11,1,2,144,71,28,260,1.47,1.01,81.35,1459.44,295.457,816.056,536.049,199.59,113.36,3502.31
2018,1,20181,Buenos Aires,62.63,5.02,8.02,1,3,11,1,2,134,64,31,246,1.42,1.51,74.77,1445.75,292.732,886.678,480.237,184.2,105.82,3471.7
2017,4,20174,Buenos Aires,57.61,1.98,3.44,1,3,11,1,2,131,60,31,239,1.3,3.87,55.05,1551.19,264.645,712.513,335.14,151.75,114.18,3188.33
2017,3,20173,Buenos Aires,55.63,-0.64,-1.15,0,3,11,1,2,125,35,39,216,843,6.58,51.41,1733.48,311.652,676.137,140.812,108.4,0,3028.47
2017,2,20172,Buenos Aires,56.27,-2.3,-4.09,0,3,11,1,2,119,22,24,182,720,7.55,47.47,1910.16,299.009,573.298,93.059,46.18,0,2976.72
2017,1,20171,Buenos Aires,58.57,-2.67,-4.56,0,3,11,2,1,119,21,24,181,668,6.02,83.92,2057.7,402.315,523.54,90.937,22.3,0,3186.72
2016,4,20164,Buenos Aires,61.24,1.1,1.8,0,3,11,2,1,119,21,24,181,635,6.06,86.28,2085.61,403.575,467.398,72.348,17.28,0,3138.54
2016,3,20163,Buenos Aires,60.14,0.8,1.33,0,3,11,2,1,113,19,24,173,591,5.86,107.95,2148.48,393.53,399.116,52.9,13.32,0,3121.14
2016,2,20162,Buenos Aires,59.34,2,3.37,1,3,13,2,1,113,21,26,179,542,10.79,133.39,2250.9,335.296,334.723,31.494,11.93,0,3108.52
2016,1,20161,Buenos Aires,57.34,-0.95,-1.66,0,3,13,2,1,111,21,26,177,499,7.35,97.88,2214.76,289.929,247.372,8.315,9.53,0,2875.14
2015,4,20154,Buenos Aires,58.29,0.6,1.03,0,3,13,2,1,103,20,26,168,488,7.99,100.3,2253.2,274.56,240.188,3.835,8.18,0,2888.25
2015,3,20153,Buenos Aires,57.69,0.89,1.54,0,3,13,2,1,114,20,26,179,470,8.36,107.35,2266.95,262.564,200.491,2.642,7.72,0,2856.08
2015,2,20152,Buenos Aires,56.8,0.43,0.76,0,3,13,2,1,116,19,26,180,446,8.71,137.19,2299.71,243.503,159.922,2.01,6.71,0,2857.76
2015,1,20151,Buenos Aires,56.37,0.28,0.5,0,3,15,2,1,134,19,29,203,432,8.88,123.59,2267.85,220.07,126.958,1.561,5.7,0,2754.61
2014,4,20144,Buenos Aires,56.09,-0.66,-1.18,0,3,15,2,1,121,18,32,192,420,8.23,132.94,2250.45,203.62,104.322,997,5.41,0,3701.96
2014,3,20143,Buenos Aires,56.75,1.69,2.98,1,3,14,2,1,124,20,32,196,397,7.36,128.19,2281.52,156.693,68.947,243,4.23,0,2889.94
2014,2,20142,Buenos Aires,55.06,0.49,0.89,0,3,14,2,1,120,17,33,190,385,6.9,162.27,2288.77,140.226,56.549,284,4.31,0,2943.03
2014,1,20141,Buenos Aires,54.57,54.57,100,1,3,14,2,1,121,17,34,192,373,8.47,171.24,2279.88,121.787,38.923,206,4.04,0,2830.34
2022,4,20224,CÃ³rdoba,89.03,0.72,0.81,0,1,68,152,457,367,62,11,1118,10.88,99,9.93,143.69,108.195,63.12,20.691,686.33,17.61,1148.56
2022,3,20223,CÃ³rdoba,88.31,0.83,0.94,0,1,68,164,465,339,61,10,1108,5.63,99,11.31,153.32,111.615,70.989,27.112,650.34,13.87,1137.57
2022,2,20222,CÃ³rdoba,87.48,1.72,1.97,0,1,68,179,468,309,61,10,1096,5.35,99,11.97,160.49,120.485,71.923,28.645,619.4,13.43,1125.34
2022,1,20221,CÃ³rdoba,85.76,1.25,1.46,0,1,74,196,502,236,61,10,1080,4.99,100,12.78,165.92,126.009,73.967,34.892,577.03,13.1,1103.7
2021,4,20214,CÃ³rdoba,84.51,3.23,3.82,1,987,77,212,487,217,61,9,2050,4.64,100,2.48,184.55,130.892,76.246,41.198,538.7,12.61,1086.67
2021,3,20213,CÃ³rdoba,81.28,1.16,1.43,0,947,62,229,477,167,58,15,1955,4.19,99,2.45,204.99,141.285,65.05,47.198,476.46,9.26,1045.69
2021,2,20212,CÃ³rdoba,80.12,1.53,1.91,0,931,62,240,468,152,56,16,1925,3.96,99,2.45,201.76,136.516,66.95,70.824,442.36,9.93,1029.78
2021,1,20211,CÃ³rdoba,78.59,0.51,0.65,0,911,55,260,445,135,54,17,1877,3.62,93,2.39,211.8,135.092,74.659,71.984,402.19,12.68,1003.79
2020,4,20204,CÃ³rdoba,78.08,2.86,3.66,1,903,55,267,439,126,53,18,1861,3.51,119,2.39,214.96,135.262,82.221,70.013,384.17,13.57,1021.58
2020,3,20203,CÃ³rdoba,75.22,2.51,3.34,1,867,55,276,431,102,48,10,1789,3.35,168,3.06,218.6,124.833,84.236,63.823,361.02,11.73,1035.3
2020,2,20202,CÃ³rdoba,72.71,2.02,2.78,1,836,55,283,415,86,45,8,1728,3.1,168,4.38,219.03,125.932,89.53,63.216,325.24,8.97,1004.3
